# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	locus_tag	feature_interval_length	product_length	old_locus_tag
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	147	1019	-	WP_003253185.1	WP_003253185.1		ParB/RepB/Spo0J family partition protein		PP_RS00005	873	290	PP_0001
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	1029	1820	-	WP_003253182.1	WP_003253182.1		ParA family protein		PP_RS00010	792	263	PP_0002
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	1839	2489	-	WP_003253179.1	WP_003253179.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	PP_RS00015	651	216	PP_0003
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	2486	4378	-	WP_049588470.1	WP_049588470.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG	PP_RS00020	1893	630	PP_0004
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	5012	6382	-	WP_010951424.1	WP_010951424.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE	PP_RS00025	1371	456	PP_0005
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	6471	8153	-	WP_010951425.1	WP_010951425.1		membrane protein insertase YidC	yidC	PP_RS00030	1683	560	PP_0006
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	8156	8401	-	WP_010951426.1	WP_010951426.1		membrane protein insertion efficiency factor YidD	yidD	PP_RS00035	246	81	PP_0007
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	8394	8798	-	WP_003253166.1	WP_003253166.1		ribonuclease P protein component		PP_RS00040	405	134	PP_0008
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	8812	8946	-	WP_003253163.1	WP_003253163.1		50S ribosomal protein L34	rpmH	PP_RS00045	135	44	PP_0009
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	9542	11062	+	WP_010951427.1	WP_010951427.1		chromosomal replication initiator protein DnaA	dnaA	PP_RS00050	1521	506	PP_0010
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	11103	12206	+	WP_003253156.1	WP_003253156.1		DNA polymerase III subunit beta	dnaN	PP_RS00055	1104	367	PP_0011
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	12222	13325	+	WP_003253154.1	WP_003253154.1		DNA replication/repair protein RecF	recF	PP_RS00060	1104	367	PP_0012
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	13330	15750	+	WP_003253152.1	WP_003253152.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	PP_RS00065	2421	806	PP_0013
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	16589	17227	+	WP_011953077.1	WP_011953077.1		hypothetical protein		PP_RS00070	639	212	PP_5421
